year,month,date,day,time,lineup,canceled,postponed,soldOut
2019,December,27,Fri,5:00pm,Names Without Numbers | Cities Never Sleep | Street Thieves | Aurora Lane,False,False,False

2019,December,28,Sat,6:00pm,Elizabeth Moen | Penny Peach Jr | Katie Sin,False,False,False

2019,December,31,Tue,9:00pm,Y2K2  New Years Eve with Lvvmaking | Ramona Muse Lambert,False,False,False

2019,November,1,Fri,6:00pm,Neil Hilborn | Willow Hawks of The Sonder Bombs,False,False,False

2019,November,1,Fri,9:30pm,Deep Sea Diver,False,False,False

2019,November,2,Sat,4:00pm,Brojob | Weeping Wound | Kill | Deadculture | Downhearted | The Emblem Faction | Chapter,False,False,False

2019,November,2,Sat,9:30pm,The Misfits Karaoke | All On Black | Raybeez,False,False,False

2019,November,4,Mon,7:00pm,Pentagram | Dark Mirror,False,False,False

2019,November,5,Tue,5:30pm,Four Stroke Baron | Stellar Circuits | Brevity | Fault Mine,False,False,False

2019,November,6,Wed,8:30pm,Papers,False,False,False

2019,November,7,Thu,6:00pm,J.E. Sunde | Sires,False,False,False

2019,November,7,Thu,9:30pm,Tongue Party | Skin of Earth | Nostromo | Into the Cove,False,False,False

2019,November,8,Fri,5:00pm,Scared of the Dark | Chapter | Brevity | Circle of Nails | Based Nexus,False,False,False

2019,November,8,Fri,9:30pm,Yak Attack,False,False,False

2019,November,9,Sat,5:30pm,Planned Parent Palooza | Annalibera | Pizza Babe | Jess V | Sky Drool,False,False,False

2019,November,9,Sat,9:30pm,Psalm One | Angel Davanport | Show You Suck | Ash Wednesday,False,False,False

2019,November,10,Sun,6:00pm,Derek Webb canceled | Kevin Lindgren,True,False,False

2019,November,10,Sun,9:30pm,Thrallfrost | Primal Breath | Quade | Into the Cove,False,False,False

2019,November,13,Wed,5:30pm,Pile | Stuck | Gleaner | Quick Piss,False,False,False

2019,November,14,Thu,6:30pm,Greyson Chance,False,False,False

2019,November,15,Fri,6:00pm,Yeardley | In Rooms | Erik Jarvis,False,False,False

2019,November,15,Fri,9:30pm,Frequency,False,False,False

2019,November,16,Sat,4:30pm,Too Pure To Die | Sanction | Queensway | Vatican | Fuming Mouth,False,False,False

